"('age', 'count')","('age', 'mean')","('age', 'std')","('age', 'min')","('age', '25%')","('age', '50%')","('age', '75%')","('age', 'max')","('price', 'count')","('price', 'mean')","('price', 'std')","('price', 'min')","('price', '25%')","('price', '50%')","('price', '75%')","('price', 'max')","('duration_in_mins', 'count')","('duration_in_mins', 'mean')","('duration_in_mins', 'std')","('duration_in_mins', 'min')","('duration_in_mins', '25%')","('duration_in_mins', '50%')","('duration_in_mins', '75%')","('duration_in_mins', 'max')","('price_per_min', 'count')","('price_per_min', 'mean')","('price_per_min', 'std')","('price_per_min', 'min')","('price_per_min', '25%')","('price_per_min', '50%')","('price_per_min', '75%')","('price_per_min', 'max')","('images_count', 'count')","('images_count', 'mean')","('images_count', 'std')","('images_count', 'min')","('images_count', '25%')","('images_count', '50%')","('images_count', '75%')","('images_count', 'max')","('exp_ads_from_simimages_count', 'count')","('exp_ads_from_simimages_count', 'mean')","('exp_ads_from_simimages_count', 'std')","('exp_ads_from_simimages_count', 'min')","('exp_ads_from_simimages_count', '25%')","('exp_ads_from_simimages_count', '50%')","('exp_ads_from_simimages_count', '75%')","('exp_ads_from_simimages_count', 'max')","('similar_images_count', 'count')","('similar_images_count', 'mean')","('similar_images_count', 'std')","('similar_images_count', 'min')","('similar_images_count', '25%')","('similar_images_count', '50%')","('similar_images_count', '75%')","('similar_images_count', 'max')",flag_Accepts,flag_Addresses,flag_Business,flag_Cards,flag_Credit,flag_Embedding,flag_Foreign,flag_Girls,flag_Hotel,flag_Juvenile,flag_Massage,flag_Multiple,flag_Parlor,flag_Providers,flag_Traveling,flag_URL,flag_Walk-ins,ethnicity_Asian,ethnicity_Black,ethnicity_Brazilian,ethnicity_Cuban,ethnicity_Dominican,ethnicity_Ebony,ethnicity_French,ethnicity_Hispanic,ethnicity_Indian,ethnicity_Latin,ethnicity_Latina,ethnicity_Mexican,ethnicity_Other,ethnicity_Panamanian,ethnicity_Polish,ethnicity_Rican,ethnicity_Romanian,ethnicity_Russian,ethnicity_Spanish,ethnicity_Thai,ethnicity_White,n_ads,n_distinct_locations,location_tree_length,n_outcall,n_incall,n_incall_and_outcall,n_cooccurring_phones,has_images
6.0,18.0,0.0,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.25,1.5,1.0,3.25,4.0,4.0,4.0,4.0,0.75,0.957427107756,0.0,0.0,0.5,1.25,2.0,4.0,1.75,2.06155281281,0.0,0.0,1.5,3.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,0.0,0,0,0,0,True
888.0,22.1981981982,2.98079480581,18.0,21.0,21.5,23.0,80.0,3.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,3.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0,3.0,3.33333333333,5.96046447754e-08,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,1016.0,12.6702755906,8.70878285642,1.0,9.0,12.0,12.0,69.0,1016.0,368.437992126,394.849044041,0.0,0.0,221.0,698.0,1736.0,1016.0,227.67519685,296.770022278,0.0,0.0,160.0,289.0,1177.0,0.0864895421142,0.488411531939,0.488411531939,0.0757490107405,0.0757490107405,0.0214810627473,0.0746184284907,0.136235161108,0.0,0.00621820237422,0.933860938383,0.136235161108,0.933860938383,0.0746184284907,0.000565291124929,0.0214810627473,0.0107405313737,0.604296212549,0.0,0.0146975692482,0.00113058224986,0.00113058224986,0.0130016958734,0.0531373657434,0.00621820237422,0.00847936687394,0.0616167326173,0.582815149802,0.00565291124929,0.0,0.00395703787451,0.0531373657434,0.00678349349915,0.0531373657434,0.0531373657434,0.0587902769927,0.0531373657434,0.455059355568,845,4,386.352691321,13,0,2,67,True
22.0,20.1363636364,2.14466013614,19.0,19.0,19.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.54545454545,1.81861466709,1.0,1.0,4.5,5.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772727272727,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136363636364,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0.0,0,0,0,0,True
57.0,23.6140350877,0.79629467726,22.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,4.96721311475,0.631590930765,3.0,5.0,5.0,5.0,7.0,61.0,223.721311475,160.592769778,0.0,37.0,342.0,342.0,356.0,61.0,118.491803279,81.5617604336,0.0,33.0,177.0,177.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016393442623,0.426229508197,0.0,0.0,0.0,0.426229508197,0.0,0.016393442623,0.0,0.0,0.0,0.0,0.327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.016393442623,0.327868852459,0.0655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426229508197,30,4,204.461783184,0,0,0,19,True
8.0,19.0,0.0,19.0,19.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.46153846154,0.660225291774,3.0,3.0,3.0,4.0,5.0,13.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,13.0,16.4615384615,0.877058019307,16.0,16.0,16.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.615384615385,0.0,0.0,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0.0,0,4,0,0,True
21.0,19.9047619048,0.436435780472,19.0,20.0,20.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.5,2.12132034356,0.0,0.75,1.5,2.25,3.0,2.0,1.5,2.12132034356,0.0,0.75,1.5,2.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.952380952381,0.0,0.0,0.0,0.047619047619,0.238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619047619048,0.0,0.0,0.0,0.0,0.0,12,2,1074.1113296,0,6,2,0,True
6.0,21.3333333333,1.63299316186,20.0,20.0,21.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.89285714286,4.77911572259,1.0,3.0,4.0,6.25,21.0,28.0,97.6428571429,123.830593445,0.0,0.0,32.0,183.0,414.0,28.0,36.3571428571,63.9346971733,0.0,0.0,3.0,43.75,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689655172414,0.0,0.0,0.103448275862,0.0,0.0,0.0,0.0689655172414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689655172414,0.0,0.0,5,1,0.0,4,0,1,2,True
7.0,23.4285714286,9.28901040401,18.0,18.0,22.0,22.0,44.0,5.0,144.0,32.8633534503,120.0,120.0,140.0,140.0,200.0,5.0,36.0,13.416407865,30.0,30.0,30.0,30.0,60.0,5.0,4.13333333333,0.557773351023,3.33333333333,4.0,4.0,4.66666666667,4.66666666667,5.0,2.6,1.3416407865,1.0,2.0,2.0,4.0,4.0,5.0,1.4,0.894427191,0.0,1.0,2.0,2.0,2.0,5.0,3.8,1.788854382,1.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.272727272727,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0.0,0,1,1,0,True
81.0,23.1481481481,0.5027701043,22.0,23.0,23.0,23.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,5.5641025641,0.947858058168,4.0,5.0,5.0,6.0,8.0,78.0,70.3974358974,91.8067337235,0.0,0.0,0.0,111.0,277.0,78.0,34.7564102564,57.0149640639,0.0,0.0,0.0,59.75,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345238095238,0.0595238095238,0.0,0.0,0.0,0.0595238095238,0.0,0.345238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345238095238,0.0,0.0,0.0,0.0,0.0,0.0238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0119047619048,0.0,0.0,0.0,70,4,204.461783184,0,0,0,17,True
141.0,22.219858156,2.66482966108,18.0,19.0,22.0,25.0,25.0,2.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,2.0,60.0,0.0,60.0,60.0,60.0,60.0,60.0,2.0,3.33333333333,0.0,3.33333333333,3.33333333333,3.33333333333,3.33333333333,3.33333333333,10.0,7.1,1.19721899974,5.0,7.0,7.5,8.0,8.0,10.0,2.8,3.35989417823,0.0,0.0,1.0,5.0,8.0,10.0,6.8,5.45282801245,0.0,1.25,7.5,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422535211268,0.0,0.323943661972,0.253521126761,0.0,0.0,0.0,0.0422535211268,0.0,0.0,0.0,0.0140845070423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0422535211268,0.0,0.0,0.0,0.0,0.0,0.0140845070423,0.0,0.0,0.0,0.0,0.0,0.0140845070423,140,3,328.450998003,0,4,0,7,True
